symbol,company_name,exchange,sector,market_cap
APVO,Aptevo Therapeutics Inc. Common Stock,NASDAQ,Health Care,6440401
APWC,Asia Pacific Wire & Cable Corporation Ltd. Ordinary Shares (Bermuda),NASDAQ,Industrials,65345193
APXT,Apex Treasury Corporation Class A Ordinary Share,NASDAQ,Technology,0
APXTU,Apex Treasury Corporation Units,NASDAQ,Finance,0
APXTW,Apex Treasury Corporation Warrants,NASDAQ,Finance,0
APYX,Apyx Medical Corporation Common Stock,NASDAQ,Health Care,119213294
AQB,AquaBounty Technologies Inc. Common Stock,NASDAQ,Consumer Staples,4825504
AQMS,Aqua Metals Inc. Common Stock,NASDAQ,Industrials,17825213
AQST,Aquestive Therapeutics Inc. Common Stock,NASDAQ,Health Care,524480767
ARAI,Arrive AI Inc. Common Stock,NASDAQ,Consumer Discretionary,36027654
ARAY,Accuray Incorporated Common Stock,NASDAQ,Health Care,54651888
ARBB,ARB IOT Group Limited Ordinary Shares,NASDAQ,Technology,10150222
ARBE,Arbe Robotics Ltd. Ordinary Shares,NASDAQ,Technology,91466881
ARBEW,Arbe Robotics Ltd. Warrant,NASDAQ,Technology,4815196
ARBK,Argo Blockchain plc American Depositary Shares,NASDAQ,Finance,48094819
ARCB,ArcBest Corporation Common Stock,NASDAQ,Industrials,2576364622
ARCC,Ares Capital Corporation Common Stock,NASDAQ,Finance,13771678167
ARCI,Archimedes Tech SPAC Partners III Co. Ordinary Share,NASDAQ,,0
ARCLU,ARC Group Acquisition I Corp Unit,NASDAQ,Finance,0
ARCT,Arcturus Therapeutics Holdings Inc. Common Stock,NASDAQ,Health Care,243585701
ARDX,Ardelyx Inc. Common Stock,NASDAQ,Health Care,1803314525
AREB,American Rebel Holdings Inc. Common Stock,NASDAQ,Industrials,828400
AREBW,American Rebel Holdings Inc. Warrants,NASDAQ,Industrials,34862
AREC,American Resources Corporation Class A Common Stock,NASDAQ,Energy,242721609
ARGX,argenx SE American Depositary Shares,NASDAQ,Health Care,50338587828
ARHS,Arhaus Inc. Class A Common Stock,NASDAQ,Consumer Discretionary,998842488
ARKO,ARKO Corp. Common Stock,NASDAQ,Consumer Staples,742656107
ARKR,Ark Restaurants Corp. Common Stock,NASDAQ,Consumer Discretionary,29029564
